obj_i,obj_j,cell_id,t_exit_i,t_enter_j,pet,severity
8,132,"(18, 6)",3.033333333333333,4.633333333333334,1.6000000000000005,moderate
132,133,"(18, 6)",4.833333333333333,6.4,1.5666666666666673,moderate
133,53,"(18, 6)",6.833333333333333,8.7,1.8666666666666663,moderate
133,53,"(18, 6)",6.833333333333333,8.8,1.9666666666666677,moderate
8,132,"(15, 8)",4.266666666666667,5.7,1.4333333333333336,critical
132,133,"(15, 8)",5.966666666666667,7.966666666666667,2.0,moderate
133,53,"(15, 8)",8.0,9.8,1.8000000000000007,moderate
133,53,"(15, 8)",8.0,9.866666666666667,1.8666666666666671,moderate
315,779,"(15, 8)",22.066666666666666,24.033333333333335,1.9666666666666686,moderate
779,879,"(15, 8)",24.4,25.133333333333333,0.7333333333333343,critical
1371,1399,"(15, 8)",41.36666666666667,42.03333333333333,0.6666666666666643,critical
1399,1463,"(15, 8)",42.3,43.46666666666667,1.1666666666666714,critical
