idx,track_a,track_b,pet,frame,angle_fl,angle_world,consist_a,consist_b,max_gap_40,max_jump,n_a,n_b,max_p95,max_p99,max_frac,decel_max,pred_min_sep,pred_t_min,verdict,is_N
51,28000,25000,1.8328732534930137,192,1.05875501704719,1.273110035144413,9.394115228291342,8.12428069829207,0,34.08518098911616,269,279,11.567742226867813,13.292842021274923,0.0072202166064981,-0.0032591917975532,4.280928756004413,0.0,N,1
52,46002,25000,0.0999749047359825,21,116.55619733405833,89.51566956335013,51.937698294598064,28.481746958135925,19,69.89922525060635,8,279,63.90899775735041,68.70117975195515,0.2857142857142857,0.000945721086579,0.3396684848899339,0.0,N,1
53,78000,25000,1.8995231899836689,192,0.7833540289070697,0.9444376084744874,,8.12428069829207,18,34.08518098911616,135,279,7.115484635715923,11.408464250378476,0.0072202166064981,-0.0032591917975532,,,N,1
54,25000,95000,1.4329736345490836,115,1.0547742403155382,1.147217200226919,8.224331919788918,30.46998633103963,15,41.81458929164619,279,188,4.371660473747241,7.291945748330541,0.0072202166064981,-0.0044222963764266,2.230958603065577,0.0,N,1
55,32000,26000,1.6329234440210487,90,1.863094417943273,2.39999171721076,11.78608206455261,24.757392889232914,1,60.69633777932363,259,197,5.597095087198268,52.40973150187919,0.0153846153846153,0.0010148850449877,1.4206736343025683,60.0,N,1
56,26000,49003,1.8661982217383413,132,95.03276820921454,,10.096204193594156,,20,60.69633777932363,197,124,5.597095087198268,52.40973150187919,0.0153846153846153,0.1669538899387946,1.4711444574043524,30.0,N,1
57,26000,59002,0.0333249682453275,56,14.185630151984585,16.877790264487913,10.69816173471144,,11,60.69633777932363,197,19,20.40804616649096,52.40973150187919,0.0666666666666666,-0.0019787090298681,,,N,1
58,63000,26000,1.2330238250771184,62,175.20367196531296,173.91498543558856,21.413985186553315,23.30390520108463,3,60.69633777932363,54,197,5.597095087198268,52.40973150187919,0.0153846153846153,0.0036148863682056,1.4909148141227393,6.0,N,1
59,26000,79000,0.5331994919252404,136,5.488697114877027,6.5705888536931525,10.5550264295872,10.53182405921481,5,60.69633777932363,197,273,5.597095087198268,52.40973150187919,0.0153846153846153,0.1532544129535256,1.3182186755716898,0.0,N,1
60,26000,95000,1.6662484122663763,262,,,,7.491247907072545,41,60.69633777932363,197,188,5.597095087198268,52.40973150187919,0.0153846153846153,-0.0013219264595535,,,N,1
61,78000,26003,1.999498094719652,256,,,,4.556941500312143,41,16.79135008087184,135,33,16.09721607185765,16.776114219304223,0.0,-0.0245311550263249,,,N,1
62,33000,28000,1.1663738885864634,70,9.274999758163403,10.875011157280142,6.638941761598814,9.563245027025324,8,27.209876352792133,252,269,11.642431174925552,13.292842021274923,0.0,-0.0039566456380126,2.496252916147212,0.0,Y,0
63,29000,91000,0.066649936490655,225,,,109.17604177575032,,20,13.125874873684143,299,60,3.358213336397931,9.339925189861845,0.0,0.0003885398078284,,,Y,0
64,59002,31000,0.1999498094719651,93,115.55152265424113,,97.48665943214472,17.603300881361758,26,58.29192136226902,19,300,20.40804616649096,50.7151463231134,0.0666666666666666,0.0034370938395365,1.3350919271733706,0.0,N,1
65,63000,31000,0.9664240791144982,40,49.94203664750296,,22.709465851983506,25.84453316245393,18,6.096441837604826,54,300,3.8535121363235207,5.557626712655918,0.0,-7.383117456366724e-05,2.415852503137613,32.0,Y,0
66,32000,60000,0.5331994919252404,159,171.76893658628984,170.07998301633725,11.672211616462068,11.69002963233658,8,59.30343763463081,259,278,3.454954756348385,37.66406653552698,0.0180505415162454,-0.0049170334796397,1.062218167382634,0.0,N,1
67,32000,81000,1.8661982217383413,199,169.67254979935362,167.12069208086103,25.941064912504192,12.81355359729595,4,53.01688179550583,259,142,2.9727694080671494,6.919076294691754,0.0078740157480314,0.0077191435642343,1.913063414500791,0.0,N,1
68,32000,94000,0.8664491743785157,117,162.20080568233772,,11.042382011546948,59.8600322960536,14,53.01688179550583,259,65,9.722288817854722,39.99598787342502,0.0526315789473684,0.0060717314675569,0.9423954325564596,2.0,Y,0
69,44002,33000,1.4662986027944112,72,,,,6.95600371976414,41,74.54837981113559,5,252,63.80449341245789,72.39960253140003,0.25,-0.0086037581806149,,,N,1
70,44003,33000,1.3663236980584286,115,,,,4.355483914952429,41,78.0837534135378,28,252,15.09846623357392,63.11025339262431,0.04,-0.0137900839859346,,,N,1
71,33000,78000,1.0997239520958084,68,8.720908843730683,10.186306137870076,6.923017630588094,9.156745726506154,0,27.209876352792133,252,135,11.642431174925552,12.963744509676769,0.0,-0.0038905836049932,2.4604282422864903,0.0,N,1
72,36000,67000,0.5331994919252404,72,169.97656895325574,163.84755989885704,39.10358644177021,15.654903121772245,6,36.75215359206359,242,221,5.487478940584064,18.85200367471024,0.0091324200913242,0.0198464728450062,0.692179081684133,0.0,Y,0
73,37000,49003,0.7331493013972056,180,,,141.59312120028906,50.31648301227159,13,52.52245461399271,198,124,0.983114405003376,48.31503169348357,0.0155440414507772,0.0631601939165951,1.8026194948444951,60.0,Y,0
74,40000,73001,0.9997490473598256,76,14.146482323058104,16.61812300464834,13.238030363394303,15.250002981037776,1,11.60373339696871,245,261,4.320821111269852,6.492549229933367,0.0,0.0026123330113553,1.6857099795267811,0.0,N,1
