event_id,cell_id,obj_i,obj_j,t_exit_i,t_entry_j,PET
985,CELL_J_4,93,112,2.1327979677009616,2.166122935946289,0.03332496824532738
986,CELL_J_4,93,114,2.1327979677009616,2.532697586644892,0.39989961894393034
987,CELL_J_4,93,114,2.1327979677009616,2.732647396116857,0.5998494284158955
988,CELL_J_4,93,114,2.1327979677009616,2.8992722373434945,0.7664742696425328
989,CELL_J_4,93,14,2.2994228089275994,2.3993977136635816,0.09997490473598214
990,CELL_J_4,93,107,2.2994228089275994,2.3993977136635816,0.09997490473598214
991,CELL_J_4,93,107,2.2994228089275994,2.532697586644892,0.23327477771729255
992,CELL_J_4,93,107,2.2994228089275994,2.5993475231355467,0.2999247142079473
993,CELL_J_4,93,114,2.2994228089275994,2.532697586644892,0.23327477771729255
994,CELL_J_4,93,114,2.2994228089275994,2.732647396116857,0.4332245871892577
995,CELL_J_4,93,114,2.2994228089275994,2.8992722373434945,0.5998494284158951
996,CELL_J_4,107,107,2.3993977136635816,2.532697586644892,0.1332998729813104
997,CELL_J_4,107,107,2.3993977136635816,2.5993475231355467,0.19994980947196517
998,CELL_J_4,107,114,2.3993977136635816,2.532697586644892,0.1332998729813104
999,CELL_J_4,107,114,2.3993977136635816,2.732647396116857,0.3332496824532756
1000,CELL_J_4,107,114,2.3993977136635816,2.8992722373434945,0.4998745236799129
1001,CELL_J_4,107,107,2.532697586644892,2.5993475231355467,0.06664993649065476
1002,CELL_J_4,107,114,2.532697586644892,2.732647396116857,0.19994980947196517
1003,CELL_J_4,107,114,2.532697586644892,2.8992722373434945,0.3665746506986025
1004,CELL_J_4,112,14,2.332747777172927,2.3993977136635816,0.06664993649065476
1005,CELL_J_4,112,107,2.332747777172927,2.3993977136635816,0.06664993649065476
1006,CELL_J_4,112,107,2.332747777172927,2.532697586644892,0.19994980947196517
1007,CELL_J_4,112,107,2.332747777172927,2.5993475231355467,0.2665997459626199
1008,CELL_J_4,112,114,2.332747777172927,2.532697586644892,0.19994980947196517
1009,CELL_J_4,112,114,2.332747777172927,2.732647396116857,0.39989961894393034
1010,CELL_J_4,112,114,2.332747777172927,2.8992722373434945,0.5665244601705677
1011,CELL_J_4,114,107,2.532697586644892,2.5993475231355467,0.06664993649065476
1012,CELL_J_4,114,114,2.532697586644892,2.732647396116857,0.19994980947196517
1013,CELL_J_4,114,114,2.532697586644892,2.8992722373434945,0.3665746506986025
1014,CELL_J_4,114,114,2.732647396116857,2.8992722373434945,0.16662484122663734
1015,CELL_J_4,125,295,8.631166775539828,9.231016203955724,0.5998494284158955
1016,CELL_J_4,125,295,8.631166775539828,9.330991108691707,0.699824333151879
1017,CELL_J_4,125,295,8.631166775539828,9.664240791144982,1.0330740156051537
